lang	device	devname	screen	width	height	background	screenPos	overlay	b1pos	b1size	b1bg	b1color	b2pos	b2size	b2bg	b2color	b3pos	b3size	b3bg	b3color	b1	b2	b3
en	iPad105	iPad 10.5"	screenL	2224	1668	#63CAE6	2048x1668	none	1200x160+40+690	80	rgba(85,192,224,0.85)	black	1200x120+40+850	56	rgba(85,192,224,0.85)	white	-	-	-	-	iPad 10.5in - Landscape	Generated by AppShots	This is the third blurb

# iPad110 11in optional (iPad Pro) 1668 x 2388 pixels
en	iPad110	iPad 11.0"	screen1	1668	2388	#63CAE6	1408x2015+130+372	base	1668x120+0+20	80	rgba(85,192,224,0)	black	1668x80+0+140	56	rgba(85,192,224,0)	white	-	-	-	-	iPad 11in - Portrait	Generated by AppShots	This is the third blurb
en	iPad110	iPad 11.0"	screenL	2388	1668	#63CAE6	2388x1668	none	1200x160+40+690	80	rgba(85,192,224,0.85)	black	1200x120+40+850	56	rgba(85,192,224,0.85)	white	-	-	-	-	iPad 11in - Landscape	Generated by AppShots	This is the third blurb

# iPadPro129 12.9in optional (iPad Pro 3rd generation) 2048 x 2732 pixels
en	iPad129	iPad 12.9"	screen1	2048	2732	#63CAE6	1748x2331+150+400	base	2048x120+0+20	80	rgba(85,192,224,0)	black	2048x80+0+140	56	rgba(85,192,224,0)	white	-	-	-	-	iPad 12.9in - Portrait	Generated by AppShots	This is the third blurb
en	iPad129	iPad 12.9"	screenL	2732	2048	#63CAE6	2732x2048	none	1200x160+40+690	80	rgba(85,192,224,0.85)	black	1200x120+40+850	56	rgba(85,192,224,0.85)	white	-	-	-	-	iPad 12.9in - Landscape	Generated by AppShots	This is the third blurb

# appleTV 1920 x 1080 pixels
en	appleTV	AppleTV	screen1	1920	1080	#63CAE6	1920x1080+0+0	none	1920x120+0+20	80	rgba(85,192,224,0)	black	1920x80+0+140	56	rgba(85,192,224,0)	white	-	-	-	-	Apple TV - Portrait	Generated by AppShots	This is the third blurb

# appleWatch3  Apple Watch, 312 x 390 pixels (Series 3)
en	appleWatch3	Apple Watch Series 0-3	screen1	312	390	#63CAE6	312x390+0+0	none	312x390+0+20	80	rgba(85,192,224,0)	black	312x80+0+0	56	rgba(85,192,224,0)	white	-	-	-	-	AppleWatch 3 - Portrait	Generated by AppShots	This is the third blurb

# appleWatch3  Apple Watch, 368 x 448 pixels (Series 5 and Series 4)
en	appleWatch4	Apple Watch Series 4-5	screen1	368	448	#63CAE6	368x448+0+0	none	321x390+0+20	80	rgba(85,192,224,0)	black	368x80+0+0	56	rgba(85,192,224,0)	white	-	-	-	-	AppleWatch 4 - Portrait	Generated by AppShots	This is the third blurb
